,Unnamed: 1,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,label
All Out 50s,0,Don't Be Cruel,Elvis Presley,59,0.697,0.55,2,-11.496,1,0.179,0.856,3.44e-05,0.0907,0.844,84.802,122893,0
All Out 50s,1,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,66,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,0.591,127.15,223760,1
All Out 50s,2,Smoke Gets In Your Eyes,The Platters,0,0.29,0.227,3,-13.06,1,0.0311,0.944,7.95e-05,0.617,0.224,114.278,157293,0
All Out 50s,3,"What'd I Say, Pt. 1 & 2",Ray Charles,62,0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385,307053,1
All Out 50s,4,Dream A Little Dream Of Me,Ella Fitzgerald,0,0.455,0.167,0,-13.613,1,0.0739,0.918,0.0,0.173,0.404,76.118,185067,0
All Out 50s,5,That'll Be The Day,Buddy Holly,63,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24,150133,0
All Out 50s,6,Blueberry Hill,Fats Domino,60,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341,147880,0
All Out 50s,7,Mack the Knife,Bobby Darin,61,0.549,0.529,3,-12.291,0,0.108,0.76,0.0,0.206,0.464,82.755,184333,0
All Out 50s,8,All Shook Up,Elvis Presley,57,0.624,0.468,10,-12.162,1,0.132,0.881,6.35e-06,0.144,0.952,74.139,117080,0
All Out 50s,9,All I Have to Do Is Dream,The Everly Brothers,0,0.542,0.347,4,-14.011,1,0.0268,0.783,0.0,0.144,0.596,103.709,141240,0
All Out 50s,10,Johnny B. Goode,Chuck Berry,0,0.516,0.798,10,-9.049,1,0.083,0.738,0.000128,0.305,0.969,168.195,161560,0
All Out 50s,11,Great Balls Of Fire,Jerry Lee Lewis,0,0.468,0.527,7,-13.897,0,0.0683,0.554,0.0,0.061,0.855,159.501,116467,0
All Out 50s,12,"Good Golly, Miss Molly",Little Richard,47,0.57,0.863,7,-10.82,1,0.0526,0.581,0.00412,0.313,0.909,163.837,128640,0
All Out 50s,13,Jambalaya (On The Bayou),Fats Domino,0,0.605,0.845,6,-8.672,0,0.0596,0.819,0.000267,0.253,0.965,75.322,144067,0
All Out 50s,14,Beyond the Sea,Bobby Darin,67,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,172480,0
All Out 50s,15,(‘Til) I Kissed You,The Everly Brothers,0,0.58,0.356,10,-12.894,0,0.0387,0.338,0.0,0.335,0.7,140.647,147587,0
All Out 50s,16,Sea Of Love,Phil Phillips,0,0.289,0.353,7,-12.302,1,0.0292,0.862,1.35e-06,0.172,0.312,85.436,144600,0
All Out 50s,17,Rave On,Buddy Holly,56,0.566,0.711,0,-6.536,1,0.0335,0.611,6.59e-06,0.417,0.961,159.629,109960,0
All Out 50s,18,Ain't That A Shame,Fats Domino,57,0.486,0.501,4,-8.57,1,0.0326,0.767,7.6e-05,0.0679,0.942,122.894,152200,0
All Out 50s,19,Summertime Blues,Eddie Cochran,0,0.717,0.883,9,-8.686,0,0.0608,0.125,0.167,0.176,0.942,156.299,119360,0
All Out 50s,20,Broken Hearted Melody,Sarah Vaughan,0,0.448,0.5,7,-11.304,1,0.0356,0.744,0.0,0.191,0.768,132.443,143267,0
All Out 50s,21,That's Amore,Dean Martin,52,0.407,0.17,10,-13.409,1,0.0341,0.76,0.0,0.0737,0.577,124.047,188267,0
All Out 50s,22,I Get A Kick Out Of You,Frank Sinatra,54,0.395,0.375,5,-10.966,0,0.0381,0.555,0.0,0.576,0.775,178.105,194093,0
All Out 50s,23,Wake up Little Susie,The Everly Brothers,61,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723,123520,0
All Out 50s,24,Dream Lover,Bobby Darin,59,0.526,0.774,5,-1.692,1,0.0459,0.715,0.0,0.437,0.715,131.715,150706,0
All Out 50s,25,Living Doll - 2003 Remaster,Cliff Richard & The Drifters,42,0.572,0.463,9,-7.782,1,0.0517,0.527,0.0,0.0958,0.764,62.658,156787,0
All Out 50s,26,I Can't Stop Loving You,Ray Charles,61,0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,0.377,79.397,256120,1
All Out 50s,27,Everyday,Buddy Holly,63,0.747,0.219,3,-12.562,1,0.0371,0.584,2.57e-05,0.107,0.498,135.562,129120,0
All Out 50s,28,Tennessee Waltz,Patti Page,0,0.468,0.171,5,-10.905,1,0.0303,0.957,3.74e-05,0.142,0.357,86.525,183573,0
All Out 50s,29,Personality,Lloyd Price,51,0.591,0.454,5,-8.936,1,0.0322,0.744,0.0,0.0989,0.865,128.909,157733,0
All Out 50s,30,Unforgettable,Nat King Cole,65,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,191973,0
All Out 50s,31,Bye Bye Love,The Everly Brothers,0,0.558,0.556,9,-8.358,1,0.0564,0.684,0.0,0.0869,0.905,169.259,144300,0
All Out 50s,32,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",Elvis Presley,54,0.396,0.0373,9,-18.642,1,0.0416,0.907,4.41e-05,0.111,0.302,103.051,161360,0
All Out 50s,33,Move It - 2002 Remaster,Cliff Richard & The Drifters,39,0.625,0.852,4,-4.83,1,0.0341,0.692,0.000487,0.293,0.931,82.142,141813,0
All Out 50s,34,"Goodnite, It's Time to Go (Goodnight Sweetheart, Goodnight)",The Spaniels,0,0.375,0.318,9,-9.923,0,0.0423,0.655,0.000198,0.422,0.358,76.638,160373,0
All Out 50s,35,The Great Pretender,The Platters,61,0.425,0.401,7,-9.427,1,0.0315,0.943,3.44e-06,0.072,0.531,115.71,160667,0
All Out 50s,36,Peggy Sue,Buddy Holly,60,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,0.493,148.373,150960,0
All Out 50s,37,Smile,Nat King Cole,63,0.226,0.136,5,-19.203,0,0.0327,0.862,8.07e-06,0.302,0.263,79.37,173267,0
All Out 50s,38,Stagger Lee,Lloyd Price,49,0.439,0.638,3,-6.859,1,0.0307,0.707,0.0,0.175,0.781,69.57,144627,0
All Out 50s,39,He'll Have to Go,Jim Reeves,52,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,138640,0
